0,83983
100,128075
200,84038
300,63138
400,170129
500,93047
600,110346
700,117266
800,133340
900,134446
1000,133983
1100,125334
1200,118531
1300,127029
1400,131033
1500,247511
1600,166195
1700,142964
1800,134730
1900,143455
2000,177805
2100,163827
2200,165054
2300,162519
2400,181377
2500,219387
2600,193545
2700,193557
2800,238576
2900,230706
3000,217865
3100,229596
3200,262148
3300,308993
3400,284611
3500,263694
3600,284857
3700,273154
3800,313905
3900,301414
4000,300657
4100,309152
4200,357576
4300,318220
4400,418744
4500,358041
4600,394619
4700,402970
4800,399607
4900,421654
5000,420090
5100,469295
5200,413909
5300,509863
5400,425241
5500,490943
5600,495310
5700,472336
5800,528711
5900,474024
6000,476108
6100,505157
6200,503172
6300,499872
6400,515754
6500,530624
6600,542243
6700,545672
6800,513861
6900,657437
7000,552965
7100,576061
7200,638859
7300,635075
7400,638037
7500,620693
7600,672089
7700,647925
7800,642493
7900,658966
8000,683856
8100,683099
8200,708780
8300,765903
8400,719482
8500,732388
8600,740967
8700,744649
8800,974903
8900,797392
9000,791799
9100,791286
9200,834768
9300,827767
9400,849755
9500,850447
9600,914937
9700,823477
9800,954171
9900,936451
10000,918680
10100,959585
10200,1013442
10300,1004407
10400,1392851
10500,1663118
10600,1454741
10700,1022590
10800,1097204
10900,1208231
11000,1178424
11100,1153372
11200,1178974
11300,1328467
11400,1251891
11500,1356489
11600,1297809
11700,1389829
11800,1633129
11900,1150308
12000,1418542
12100,1439917
12200,1399194
12300,1452563
12400,1453223
12500,1649772
12600,1484771
12700,1529285
12800,1559941
12900,1653425
13000,1639303
13100,1742029
13200,1803898
13300,1724215
13400,1773417
13500,2374068
13600,1990260
13700,1814554
13800,2864895
13900,2039999
14000,2011964
14100,2083401
14200,2032418
14300,2115812
14400,2233202
14500,2176620
14600,2302127
14700,2270444
14800,2263958
14900,2560466
15000,2293803
15100,2483846
15200,2481293
15300,1462571
15400,2544658
15500,2590759
15600,2565183
15700,2691850
15800,2586379
15900,2336997
16000,3295451
16100,2453616
16200,2617243
16300,3175288
16400,2848039
16500,2895327
16600,2969316
16700,2858389
16800,3043587
16900,3028678
17000,2774164
17100,4038415
17200,2941287
17300,3163690
17400,3371754
17500,3144004
17600,3214061
17700,3216620
17800,3261106
17900,3270296
18000,3665496
18100,3324550
18200,3095416
18300,3172972
18400,3166745
18500,3120236
18600,3053709
18700,3224360
18800,3222198
18900,3258650
19000,3259121
19100,2755656
19200,3959376
19300,3612541
19400,3077430
19500,3742641
19600,3419202
19700,3397318
19800,3580095
19900,3502668
20000,3820429
20100,3593234
20200,3696204
20300,3696074
20400,3797863
